First_name_created,Frequency
Relebogile,548
Asiphe,547
Akhona,546
Oarabile,541
Tshepiso,539
Anathi,538
Remofilwe,527
Itumeleng,526
Onalenna,526
Tebogo,518
Unathi,516
Banele,510
Samkelisiwe,508
Aphile,505
Zinhle,505
Ava,504
Thandeka,500
Asenathi,498
Sanelisiwe,497
Nobuhle,496
Slindokuhle,491
Zanokuhle,484
Atlegang,483
Amukelani,480
Senamile,477
Masego,476
Awande,472
Mahlatse,469
Anothando,465
Lingomso,464
Ntandoyenkos,464
Isabella,462
Sisipho,457
Mandisa,456
Olothando,456
Tshireletso,451
Dimakatso,450
Emily,447
Siphokazi,445
Lusanda,443
Imange,439
Indiphile,438
Tshepang,438
Abigail,434
Ntando,431
Nothando,429
Zekhethelo,428
Thembelihle,427
Andile,426
Abenathi,423
Hlelokuhle,422
Snothando,422
Onalerona,419
Grace,416
Mokgadi,413
Thatego,412
Onkarabile,410
Mamello,393
Azande,392
Zanele,392
Nonhlanhla,391
Tsholofelo,391
Maria,390
Iviwe,388
Sinenhlanhla,385
Linomtha,384
Lebohang,381
Gontse,380
Avethandwa,379
Botlhale,377
Likuwe,377
Anelisa,375
Linamandla,375
Nonjabulo,374
Amyoli,373
Sibongile,373
Ntokozo,372
Isiphile,371
Katleho,370
Lihle,370
Bophelo,367
Inathi,367
Yamkela,366
Kgomotso,364
Mivuyo,364
Nkateko,359
Entle,356
Pretty,351
Puseletso,350
Simthandile,346
Snenhlanhla,346
Inam,345
Lungile,345
Mosa,342
Lwandile,340
Nkazimulo,340
Hannah,339
Lulonke,337
Nomthandazo,337
Amila,336
Lehlogonolo,333
Ntsako,333
Yolanda,333
Realeboga,330
Elam,328
Philasande,328
Keneilwe,326
Nokwanda,324
Thandiwe,323
Jessica,322
Boitshepo,320
Nokubonga,319
Gabriella,318
Olivia,318
Abongile,316
Athandwa,314
Khutso,314
Elizabeth,311
Sarah,306
Endinako,305
Kamohelo,305
Happiness,304
Hlelolwenkos,304
Ovayo,301
Snethemba,301
Asibonge,299
Emma,299
Amile,294
Londeka,294
Oyintando,293
Lunathi,292
Onele,291
Basetsana,290
Boikano,290
Esona,290
Ndalwenhle,290
Nompilo,290
Sinethemba,288
Angela,286
Lindiwe,286
Mogau,285
Sinazo,284
Mila,283
Refentse,283
Chloe,282
Keletso,281
Luniko,281
Lunje,281
Tumelo,279
Karabelo,278
Linathi,278
Khazimla,276
Michelle,274
Abongwe,272
Ivakele,272
Syamthanda,272
Bongiwe,270
Mikhulu,269
Sihle,268
Hlelo,267
Omphemetse,266
Snakhokonke,266
Langelihle,265
Skylar,265
Ntandokazi,264
Khumo,262
Riley,262
Amelia,261
Nondumiso,261
Kananelo,260
Kopano,260
Nkanyezi,260
Mpilwenhle,258
Lindelwa,256
Mohau,256
Omaatla,256
Aneliswa,255
Warona,255
Zandile,255
Uminathi,254
Misokuhle,253
Sinesipho,253
Nomfundo,252
Kiara,251
Layla,251
Pearl,250
Gomolemo,249
Kgalalelo,249
Nomcebo,248
Lilitha,247
Khensani,244
Atlehang,243
Owam,243
Silindokuhle,243
Noxolo,242
Nokuthula,241
Bohlokwa,238
Kuhlekonke,238
Lulama,238
Avela,236
Sinqobile,236
Refiloe,235
Mapula,234
Samukelisiwe,234
Simamkele,233
Tiisetso,232
Boipelo,231
Mphoentle,231
Akahlulwa,229
Tshwarelo,228
Wandile,228
Boikgantsho,227
Nonkululeko,227
Sinokuhle,227
Hlompho,226
Jabulile,226
Sbongakonke,226
Boikanyo,225
Busiswa,225
Fezeka,225
Khanya,224
Tintswalo,224
Gugulethu,223
Samkelo,223
Ditheto,222
Phenyo,222
Mathapelo,221
Mpilenhle,221
Andisiwe,220
Khanyisa,220
Likhona,220
Skyler,220
Amber,219
Anna,219
Fanelesibong,219
Kealeboga,219
Nonhle,219
Othalive,219
Kaboentle,218
Nokukhanya,218
Promise,217
Khwezi,216
Ronewa,216
Kagiso,215
Miané,215
Mikayla,215
Zingce,215
Amantle,214
Omuhle,214
Snothile,214
Zoey,214
Asavela,213
Letlotlo,212
Ntombikayise,212
Sthandiwe,212
Aaliyah,210
Ayola,210
Nosihle,210
Thuto,210
Alulutho,209
Unako,209
Liyabona,208
Nhlanhla,207
Mihlali,206
Sibusisiwe,206
Cassidy,205
Molebogeng,205
Resego,205
Asisipho,204
Sanele,204
Zoë,204
Anovuyo,203
Sinakhokonke,203
Nelisiwe,202
Nicole,202
Omogolo,202
Zoe,201
Bongeka,200
Olwam,200
Wamashudu,200
Kearabetswe,199
Sinovuyo,199
Sukoluhle,199
Dakalo,198
Kgaugelo,198
Matshidiso,198
Tlhonolofats,198
Didintle,197
Anelisiwe,196
Lethukuthula,196
Neliswa,195
Kayla,194
Londiwe,194
Madison,194
Nombuso,194
Phindile,194
Ayabongwa,193
Bofelo,193
Inako,193
Xolelwa,193
Alexis,191
Joy,191
Nongcebo,191
Xiluva,191
Dikeledi,190
Taylor,190
Lonathemba,189
Natasha,189
Onika,189
Remoratile,189
Sindiswa,187
Thabile,187
Tshimologo,187
Kganya,185
Lelothando,185
Kgaogelo,184
Mpilonhle,184
Thoriso,184
Onako,183
Ditebogo,182
Ntombenhle,182
Samantha,182
Siyanda,182
Tshedza,182
Khomotso,181
Angelique,180
Tshilidzi,180
Alicia,179
Nhlamulo,179
Kedibone,178
Onkarabetse,178
Othandwayo,178
Aviwe,176
Nomvelo,174
Tshenolo,174
Unarine,174
Fortunate,173
Mihle,173
Phathutshedz,173
Leago,172
Liyema,172
Yonela,172
Keamogetse,171
Nyeleti,171
Patience,171
Thulisile,171
Asande,169
Inganathi,169
Amandla,168
Kungentando,168
Njabulo,168
Ariana,167
Hailey,167
Lathitha,167
Nkosingiphil,167
Athandiwe,166
Siphokuhle,166
Amoré,165
Avuyile,165
Gosiame,165
Hayley,165
Thatohatsi,165
Thobeka,165
Amy,164
Kwandokuhle,164
Charlotte,163
Nosibusiso,163
Thembeka,163
Kuhlula,162
Milisa,162
Oyama,162
Sphumelele,162
Thateho,162
Bonang,161
Leano,161
Mawande,161
Mahlogonolo,160
Morongwa,160
Reamogetse,160
Dintle,159
Imaan,159
Kefilwe,158
Milani,158
Snokuhle,158
Kaylee,157
Nomvula,157
Rotondwa,157
Iyazi,156
Ntombifuthi,156
Sibongakonke,156
Thandokuhle,156
Zikhona,156
Nombulelo,155
Tinyiko,155
Imibongo,154
Thandoluhle,154
Kgotlelelo,153
Lisa,153
Nozipho,153
Slindile,153
Alunamida,152
Lukhona,152
Mpilo,151
Namhla,151
Bianca,150
Smelokuhle,150
Inamandla,149
Bulelwa,148
Elethu,148
Zwivhuya,148
Amukelo,147
Hlengiwe,147
Khethelo,147
Nsovo,147
Peyton,147
Puleng,147
Rachel,147
Reotshepile,147
Thobile,147
Aqhama,146
Erin,146
Ntsakelo,146
Aluve,145
Bandile,145
Ndalo,145
Nontando,145
Vukona,145
Wandeme,145
Zara,145
Akonaho,144
Orefile,144
Phemelo,144
Rebecca,144
Rose,144
Sinothile,144
Victoria,144
Mieke,143
Awonke,142
Mpumelelo,142
Tatum,142
Zimi,142
Ahlumile,141
Fatima,141
Luhle,141
Malwande,141
Nyiko,141
Ongeziwe,141
Sphelele,141
Xoliswa,141
Alexa,140
Asonele,140
Hlonolofatso,140
Lelethu,140
Lufuno,140
Lutendo,140
Mpendulo,140
Nyakallo,140
Sharon,140
Thapelo,140
Tshwanelo,140
Chelsea,139
Sophia,139
Tiana,139
Buhlebenkosi,138
Akhanya,137
Luminathi,137
Martha,137
Nokulunga,137
Phuti,137
Thendo,137
Yamihle,137
Zizo,137
Kuhle,135
Lebo,135
Nakhane,135
Nandipha,135
Seluleko,135
Athandile,134
Fisokuhle,134
Kholofelo,134
Lucia,134
Zintle,134
Nozibusiso,133
Ntswaki,133
Omatla,133
Sinalo,133
Snqobile,133
Bathabile,132
Bayanda,132
Yandiswa,132
Muhluri,131
Nolwandle,131
Sesethu,131
Vunene,131
Azania,130
Lithemba,130
Mmathapelo,130
Portia,130
Sindisiwe,130
Azile,129
Ezinhle,129
Letago,129
Nina,129
Bohlokoa,128
Jade,128
Mikhenso,128
Ntombizodwa,128
Wanga,128
Azingce,127
Hlalumi,127
Likuye,127
Nontobeko,127
Ripfumelo,127
Sandiswa,127
Silindile,127
Tlhalefo,127
Zwoluga,127
Rebaone,126
Regomoditswe,126
Rofhiwa,126
Anesipho,125
Anitha,125
Avuzwa,125
Letlhogonolo,125
Megan,125
Vhugala,125
Aisha,124
Charmaine,124
Gia,124
Isenathi,124
Kylie,124
Luphawu,124
Tlotlego,124
Tlotlo,124
Ella,123
Mukundi,123
Annah,122
Keatlegile,122
Likhanye,122
Scarlett,122
Vuyiswa,122
Zibusiso,122
Ayandiswa,121
Uyanda,121
Imivuyo,120
Kearabilwe,120
Lukhanyo,120
Rivoningo,120
Simnikiwe,120
Siphosihle,120
Siyolise,120
Alive,119
Athandwe,119
Christina,119
Nomsa,119
Ontlametse,119
Remoneilwe,119
Rotenda,119
Zarah,119
Asive,118
Elona,118
Esam,118
Kegomoditswe,118
Olunje,118
Oreneile,118
Praise,118
Qhawekazi,118
Somila,118
Tsakani,118
Anganathi,117
Asekhona,117
Brooklyn,117
Imani,117
Prudence,117
Alizwa,116
Onikayo,116
Onkabetse,116
Reatile,116
Rolivhuwa,116
Thubelihle,116
Kgopotso,115
Olebogeng,115
Philile,115
Wavhudi,115
Ahlume,114
Buhlebendalo,114
Lily,114
Lungelo,114
Omosa,114
Siphelele,114
Sthabile,114
Zizipho,114
Innocentia,113
Lulo,113
Orifha,113
Wendy,113
Achumile,112
Aliyah,112
Asanele,112
Boitshoko,112
Gofaone,112
Michaela,112
Sandisiwe,112
Ashley,111
Asimthande,111
Gift,111
Liqhame,111
Lwazi,111
Matlhogonolo,111
Motheo,111
Naomi,111
Nikita,111
Oratiloe,111
Paige,111
Resegofetse,111
Tamia,111
Tebatso,111
Alungile,110
Aluthando,110
Malebo,110
Mercy,110
Mikateko,110
Zama,110
Dipuo,109
Vuyelwa,109
Asphile,108
Awethu,108
Julia,108
Keorapetse,108
Mashudu,108
Pontsho,108
Anita,107
Rearabetswe,107
Rendani,107
Snazo,107
Amukelwa,106
Mukhethwa,106
Nontokozo,106
Enkosi,105
Kwakhanya,105
Rialivhuwa,105
Shiloh,105
Thandi,105
Zinathi,105
Melissa,104
Moloko,104
Musa,104
Olesego,104
Queen,104
Reamogetswe,104
Anoyolo,103
Fezile,103
Mahlatsi,103
Mahlodi,103
Maya,103
Mckenzie,103
Osego,103
Ziphezinhle,103
Appreciate,102
Moleboheng,102
Retshepile,102
Surprise,102
Thingo,102
Ayakha,101
Esther,101
Smangele,101
Tlotliso,101
Uhone,101
Vanessa,101
Vutomi,101
Asithandile,100
Boiketlo,100
Isivile,100
Kutloano,100
Lara,100
Maite,100
Maryam,100
Phumelele,100
Uyathandwa,100
Amkelo,99
Asekho,99
Leané,99
Mackenzie,99
Monique,99
Fezokuhle,98
Jordan,98
Kharendwe,98
Liyana,98
Lizalise,98
Lucy,98
Ompha,98
Simelokuhle,98
Siziphiwe,98
Sphiwokuhle,98
Swelihle,98
Unam,98
Zahra,98
Inothando,97
Kgotso,97
Kitso,97
Livhuwani,97
Nsuku,97
Siwaphiwe,97
Alyssa,96
Chantel,96
Kaone,96
Mary,96
Neoentle,96
Olugaho,96
Siphumelele,96
Annabelle,95
Chloé,95
Ivile,95
Kgolagano,95
Kurhula,95
Mulalo,95
Olona,95
Olwami,95
Patricia,95
Phumzile,95
Pulane,95
Vhuthuhawe,95
Alupheli,94
Alwaba,94
Caroline,94
Kagoentle,94
Ntsakiso,94
Olungaka,94
Pheladi,94
Sbongile,94
Thabisile,94
Amina,93
Boikarabelo,93
Gosego,93
Isla,93
Jane,93
Mapaseka,93
Shantel,93
Sinentlahla,93
Thembi,93
Ithandile,92
Liané,92
Mulweli,92
Payton,92
Reanetse,92
Ayabulela,91
Isipho,91
Molatelo,91
Ndalwentle,91
Nomonde,91
Nonkazimulo,91
Rhulani,91
Sphiwe,91
Zamokuhle,91
Mapule,90
Micah,90
Mosima,90
Nikiwe,90
Sbusisiwe,90
Thimna,90
Alice,89
Botle,89
Lea,89
Mufunwa,89
Ndivhuwo,89
Nomusa,89
Ntlakuso,89
Omhle,89
Qhayiya,89
Takalani,89
Tlou,89
Chulumanco,88
Hlulani,88
Makoma,88
Mbalienhle,88
Ntombi,88
Otlotleng,88
Tsebo,88
Anam,87
Arehone,87
Asamkele,87
Charity,87
Diteboho,87
Galaletsang,87
Johanna,87
Millicent,87
Sthembile,87
Tshifhiwa,87
Azokuhle,86
Lelomso,86
Oyena,86
Sisonke,86
Sofia,86
Someleze,86
Vuyolwethu,86
Carla,85
Chanté,85
Dieketseng,85
Felicia,85
Mika,85
Ruth,85
Zethembiso,85
Fikile,84
Gugu,84
Karli,84
Kaylin,84
Xolile,84
Zukhanye,84
Keratilwe,83
Nomzamo,83
Oritonda,83
Rebone,83
Rinae,83
Sbongokuhle,83
Sophie,83
Tetelo,83
Thembisile,83
Amorey,82
Andrea,82
Betty,82
Confidence,82
Eva,82
Happy,82
Limyoli,82
Minathi,82
Monica,82
Murendeni,82
Nhlulo,82
Ntwanano,82
Olorato,82
Oluthando,82
Tharollo,82
Athayanda,81
Isabelle,81
Lusanele,81
Lwanele,81
Nadia,81
Sinoxolo,81
Thandaza,81
Alexia,80
Esinako,80
Fanelesbonge,80
Georgia,80
Jasmine,80
Kgabo,80
Khethokuhle,80
Nandi,80
Nkosenhle,80
Ntsumi,80
Olwenene,80
Oyisa,80
Thakgatso,80
Thandokazi,80
Yomelela,80
Afika,79
Andzani,79
Ayama,79
Cara,79
Modjadji,79
Onesimo,79
Rearabilwe,79
Sibabalwe,79
Sinelizwi,79
Singalakha,79
Thabiso,79
Zwonaka,79
Adivhaho,78
Jaylin,78
Jennifer,78
Luminjalo,78
Ntshuxeko,78
Reaoleboga,78
Seipati,78
Siphiwe,78
Thandiswa,78
Abulele,77
Aria,77
Ayathandwa,77
Beauty,77
Elomso,77
Ibenathi,77
Kungothando,77
Lebone,77
Mosibudi,77
Murunwa,77
Nontsikelelo,77
Skye,77
Sphokazi,77
Thokozile,77
Zusiphe,77
Akohlulwa,76
Izibele,76
Kamvelihle,76
Linda,76
Lonwabo,76
Miyolo,76
Mokgethwa,76
Olwakhe,76
Omphulusa,76
Pabalelo,76
Raisibe,76
Sebabatso,76
Shalom,76
Simangele,76
Alutha,75
Athule,75
Ayazingca,75
Catherine,75
Danielle,75
Hlelolenkosi,75
Kabelo,75
Kago,75
Miché,75
Mutshidzi,75
Pamela,75
Risima,75
Sethabile,75
Sithandiwe,75
Valencia,75
Vuyokazi,75
Yenzokuhle,75
Andziso,74
Arianna,74
Ayesha,74
Eden,74
Iva,74
Kekeletso,74
Konke,74
Masana,74
Opelong,74
Sinoyolo,74
Snakho,74
Sphokuhle,74
Sphosethu,74
Tebello,74
Trinity,74
Zia,74
Angelina,73
Ané,73
Ayabukwa,73
Divine,73
Gomotsegang,73
Imitha,73
Kara,73
Nhlakanipho,73
Thabang,73
Vutlhari,73
Yamukela,73
Amkelwa,72
Avumile,72
Bailey,72
Boikhutso,72
Carli,72
Hleloluhle,72
Kendall,72
Keotshepile,72
Makhadzi,72
Nomhle,72
Tshephang,72
Tshiamiso,72
Yandisa,72
Akhanani,71
Brilliant,71
Fanele,71
Harper,71
Kamva,71
Kayone,71
Kelsey,71
Liyakhanya,71
Masindi,71
Nduvho,71
Reamohetse,71
Achuma,70
Aminathi,70
Amkele,70
Fundiswa,70
Kayleigh,70
Kgatoentle,70
Kwena,70
Nomathemba,70
Pholoso,70
Phomolo,70
Zainab,70
Abukwe,69
Agcobile,69
Azrah,69
Bongekile,69
Chloë,69
Joyce,69
Kimberly,69
Lethu,69
Lia,69
Morgan,69
Nhlanzeko,69
Nokuphila,69
Phawulothand,69
Prosperity,69
Sienna,69
Agnes,68
Akwande,68
Amvuyele,68
Bella,68
Gogontle,68
Kgethego,68
Lydia,68
Olumiyo,68
Oreratile,68
Otshepeng,68
Samukelo,68
Xilaveko,68
Asbonge,67
Caitlin,67
Caitlyn,67
Cynthia,67
Lee-Ann,67
Lizzy,67
Logan,67
Luvuyo,67
Natalie,67
Ndalenhle,67
Nonkanyiso,67
Phindulo,67
Teboho,67
Thalente,67
Tumisho,67
Vhulenda,67
Aqhamile,66
Bunono,66
Engetelo,66
Hlela,66
Isabel,66
Kelly,66
Nelly,66
Nokwazi,66
Phomelelo,66
Rosina,66
Sinegugu,66
Talia,66
Zanda,66
Zubenathi,66
Asenele,65
Aurora,65
Azariah,65
Chantelle,65
Lisolethu,65
Liyolatha,65
Moyahabo,65
Mukelwa,65
Mvelo,65
Nadine,65
Ndzalo,65
Penelope,65
Phoebe,65
Siphiwokuhle,65
Tiffany,65
Anika,64
Bukho,64
Courtney,64
Duduzile,64
Ipeleng,64
Keaoleboga,64
Kelebohile,64
Mologadi,64
Ntokoto,64
Ntwenhle,64
Phetogo,64
Phetolo,64
Sandra,64
Skyla,64
Suprise,64
Temosho,64
Tshegofatþo,64
Amzolele,63
Aseza,63
Khutjo,63
Linothando,63
Mbasa,63
Xivono,63
Yolatha,63
Anja,62
Autumn,62
Azenathi,62
Candice,62
Kiana,62
Kwetsima,62
Lienke,62
Mathabo,62
Nkosazana,62
Nothile,62
Slethokuhle,62
Tendani,62
Thabelo,62
Tiara,62
Zwavhudi,62
Christine,61
Iminam,61
Kate,61
Keamohetswe,61
Keisha,61
Keitumetsi,61
Malehlohonol,61
Maphuti,61
Melisa,61
Phelokazi,61
Philisiwe,61
Thandekile,61
Ahluma,60
Alakhe,60
Asante,60
Athabile,60
Cebile,60
Claire,60
Danica,60
Jamie-Lee,60
Junior,60
Omontle,60
Realeboha,60
Soyama,60
Summer,60
Willow,60
Azaria,59
Eliana,59
Eyethu,59
Favour,59
Inga,59
Lehlohonolo,59
Lethiwe,59
Lumka,59
Mmapula,59
Motlatso,59
Nhlosenhle,59
Pholosho,59
Rebotile,59
Tsakane,59
Vhutali,59
Vutivi,59
Zwothe,59
Anothile,58
Azosule,58
Bridget,58
Celokuhle,58
Cleo,58
Daniella,58
Evelyn,58
Hunadi,58
Jamie,58
Kyla,58
Linah,58
Nkhensani,58
Nonzuzo,58
Ogone,58
Othembele,58
Siyethemba,58
Thandolwenko,58
Uviwe,58
Anotha,57
Azalea,57
Boniswa,57
Casey,57
Cebolenkosi,57
Enelo,57
Ezile,57
Gloria,57
Kemoratile,57
Lemogang,57
Masimbonge,57
Miah,57
Milan,57
Nonduduzo,57
Rania,57
Reatlehile,57
Sara,57
Sesona,57
Theto,57
Zeah,57
Zethu,57
Amanhle,56
Amkelani,56
Gianna,56
Hlumelo,56
Innocent,56
Kabo,56
Kefentse,56
Kusaselihle,56
Limnandi,56
Mariam,56
Ncobile,56
Ndzalama,56
Onothando,56
Owenkosi,56
Rirhandzu,56
Salome,56
Abusiswa,55
Amani,55
Anastacia,55
Asakhe,55
Azanda,55
Buhlebethu,55
Carol,55
Eunice,55
Inami,55
Indivile,55
Iyana,55
Keketso,55
Koena,55
Kuyintando,55
Luhlelunje,55
Mahlako,55
Ndamulelo,55
Nhlonipho,55
Nonsikelelo,55
Ontshiametse,55
Reneiloe,55
Risuna,55
Senzelwe,55
Stella,55
Tlhompho,55
Usiphile,55
Akeelah,54
Amukelwe,54
Ciara,54
Danika,54
Elisa,54
Gemma,54
Kulungile,54
Kyra,54
Larona,54
Mienke,54
Mmaphuti,54
Mukonazwothe,54
Murangi,54
Nokwethemba,54
Orifuna,54
Snoxolo,54
Thobekile,54
Xihlovo,54
Zesuliwe,54
Aobakwe,53
Babalwa,53
Jaydene,53
Khethiwe,53
Lolwethu,53
Luzelwande,53
Matome,53
Melody,53
Ngcwele,53
Onwaba,53
Oreabetse,53
Phologo,53
Retshidisits,53
Sthandwa,53
Thekgo,53
Vhukhudo,53
Ababalwe,52
Abongiwe,52
Akani,52
Amy-Lee,52
Asivile,52
Athenkosi,52
Boineelo,52
Iminqweno,52
Josephine,52
Katekani,52
Keziah,52
Latoya,52
Libongwe,52
Lwethu,52
Makgotso,52
Malebogo,52
Muneiwa,52
Nseketelo,52
Ntalo,52
Oatlegile,52
Oboitshepo,52
Ororiseng,52
Selina,52
Sinakho,52
Yanelisa,52
Ankonisaho,51
Boitshwarelo,51
Carmen,51
Clara,51
Gcinile,51
Lilly,51
Lona,51
Molemo,51
Motsatsi,51
Nhlalala,51
Pelontle,51
Phumla,51
Reagile,51
Ruby,51
Sibongokuhle,51
Simlindile,51
Simoné,51
Snegugu,51
Tamara,51
Thalitha,51
Yoliswa,51
Yolula,51
Zanothando,51
Asange,50
Avery,50
Cwenga,50
Danelle,50
Hazel,50
Kgotatso,50
Kgotlello,50
Lana,50
Lusenathi,50
Lwandiswa,50
Mmakgotso,50
Mohlago,50
Nizibone,50
Nokuphiwa,50
Ntshembo,50
Nwayitelo,50
Robyn,50
Rotshidzwa,50
Sewela,50
Sthandokuhle,50
Temoso,50
Tshinakaho,50
Unami,50
Vukosi,50
Ziphelele,50
Andani,49
Busi,49
Future,49
Iyonke,49
Kgahliso,49
Kwandile,49
Lelam,49
Nthati,49
Ntivo,49
Oregolele,49
Shanique,49
Sinentlantla,49
Sisekelo,49
Vhuhwavho,49
Yolisa,49
Yonwaba,49
Zimkhitha,49
Alexandra,48
Arabile,48
Cathrine,48
Chantell,48
Gabrielle,48
Isago,48
Keoratile,48
Kuhlesibonge,48
Lehakoe,48
Lungaka,48
Malibongwe,48
Mbuyelo,48
Ndinani,48
Nelisa,48
Noko,48
Omohau,48
Oyintanda,48
Pertunia,48
Reitumetsi,48
Sinawo,48
Thembalethu,48
Tlhompo,48
Winnie,48
Abusiswe,47
Dzithendo,47
Fhulufhelo,47
Gundo,47
Hanna,47
Hellen,47
Imanathi,47
Khumoetsile,47
Kubobonke,47
Leila,47
Lethuthando,47
Lexi,47
Lwaluhle,47
Nhlavutelo,47
Nkululeko,47
Ntshovelo,47
Nwabisa,47
Onikwa,47
Qhama,47
Simamukele,47
Thembekile,47
Tshimangadzo,47
Vutshila,47
Yibanathi,47
Zayaan,47
Zimvo,47
Arabella,46
Goodness,46
Ivy,46
Johannah,46
Juliet,46
Kemisetso,46
Lina,46
Mokgaetji,46
Nizole,46
Nomasonto,46
Orefemetse,46
Philiswa,46
Retshegofadi,46
Rhandzu,46
Salma,46
Sithabile,46
Sphephile,46
Thakgalo,46
Tracy,46
Aluncedo,45
Amkhitha,45
Bathandwa,45
Comfort,45
Judith,45
Kagontle,45
Kaitlyn,45
Karlien,45
Kauthar,45
Klara,45
Libhongo,45
Loago,45
Margaret,45
Mesuli,45
Mmatlou,45
Mukona,45
Nasiphi,45
Ndiene,45
Nomathamsanq,45
Nontethelelo,45
Oagile,45
Oamogetswe,45
Odirile,45
Sadie,45
Snalo,45
Sophy,45
Tinashe,45
Veronica,45
Zothando,45
Abusisiwe,44
Akum,44
Amkela,44
Anzani,44
Aqeelah,44
Asiphokuhle,44
Bokao,44
Constance,44
Dembe,44
Eminathi,44
Farah,44
Florence,44
Gontlafetse,44
Immaculate,44
Lauren,44
Linam,44
Malwandla,44
Migcobo,44
Mpiloenhle,44
Mufhatutshed,44
Nhletelo,44
Noncebo,44
Nurah,44
Orinea,44
Reabetsoe,44
Shannon,44
Tayla,44
Tlhokomelo,44
Unakho,44
Violet,44
Akhule,43
Ariah,43
Asmaa,43
Cecilia,43
Destiny,43
Gladys,43
Golekane,43
Ivanka,43
Jana,43
Kaylene,43
Kgadi,43
Lilonke,43
Luleka,43
Masingita,43
Miné,43
Motshidisi,43
Ndivho,43
Nhlayiseko,43
Nompendulo,43
Ntiyiso,43
Onela,43
Ongezwa,43
Onwabe,43
Perseverance,43
Phophi,43
Phumudzo,43
Ramokone,43
Ratanang,43
Remothabetse,43
Shekinah,43
Sylvia,43
Tholakele,43
Afikile,42
Ambesiwe,42
Ashleigh,42
Britney,42
Charisma,42
Chuma,42
Evidence,42
Fiona,42
Hloniphile,42
Katelyn,42
Kim,42
Lelona,42
Live,42
Liviwe,42
Loveness,42
Makwena,42
Mamokete,42
Matshediso,42
Natalia,42
Nhlalonhle,42
Nhlawuleko,42
Onamandla,42
Ondwela,42
Ontiretse,42
Simbonge,42
Sithembile,42
Siyabonga,42
Thandazile,42
Tidimalo,42
Vuako,42
Xiluvelo,42
Zahraa,42
Zoleka,42
Amory,41
Asandiswa,41
Asethembe,41
Bulumko,41
Christinah,41
Diketso,41
Goitsemang,41
Gracious,41
Imrah,41
Kayleen,41
Kgodiso,41
Likamva,41
Lingcwele,41
Maropeng,41
Miranda,41
Morongoa,41
Ntlafatso,41
Ntokomalo,41
Pinky,41
Prayer,41
Priscilla,41
Sinikiwe,41
Sizakele,41
Talent,41
Tokelo,41
Tsireledzo,41
Usenathi,41
Yamkelani,41
Zenkosi,41
Allison,40
Aluwani,40
Arya,40
Ayana,40
Azola,40
Bongokuhle,40
Charlene,40
Esothando,40
Haylee,40
Jané,40
Keira,40
Khuthadzo,40
Lisanda,40
Makungu,40
Mishka,40
Mulamuleli,40
Nkuriso,40
Nqubeko,40
Ntobeko,40
Ompabaletse,40
Onneile,40
Otsile,40
Phethokuhle,40
Rokunda,40
Sekwanele,40
Shakira,40
Sibulele,40
Slondiwe,40
Sthembiso,40
Tarryn,40
Thabisa,40
Tlholo,40
Yakhanani,40
Zisanda,40
Amelie,39
Anako,39
Anothe,39
Ariella,39
Avuyonke,39
Dané,39
Dominique,39
Esami,39
Ibanathi,39
Indibabale,39
Kefiloe,39
Kgatontle,39
Kholeka,39
Liana,39
Mandy,39
Mayenziwe,39
Nande,39
